time,val
'2007-01-19T01:00:00',0.133204633
'2007-01-19T02:00:00',0.198841699
'2007-01-19T03:00:00',0.083011583
'2007-01-19T04:00:00',0.075289575
'2007-01-19T05:00:00',0.181467181
'2007-01-19T06:00:00',0.252895753
'2007-01-19T07:00:00',0.11003861
'2007-01-19T08:00:00',0.073359073
'2007-01-19T09:00:00',0.077220077
'2007-01-19T10:00:00',0.019305019
'2007-01-19T11:00:00',0.036679537
'2007-01-19T12:00:00',0.034749035
'2007-01-19T13:00:00',0.028957529
'2007-01-19T14:00:00',0.05019305
'2007-01-19T15:00:00',0.061776062
'2007-01-19T16:00:00',0.061776062
'2007-01-19T17:00:00',0.055984556
'2007-01-19T18:00:00',0.054054054
'2007-01-19T19:00:00',0.113899614
'2007-01-19T20:00:00',0.1003861
'2007-01-19T21:00:00',0.154440154
'2007-01-19T22:00:00',0.135135135
'2007-01-19T23:00:00',0.202702703
'2007-01-20T00:00:00',0.096525097
'2007-01-20T01:00:00',0.183397683
'2007-01-20T02:00:00',0.102316602
'2007-01-20T03:00:00',0.127413127
'2007-01-20T04:00:00',0.11003861
'2007-01-20T05:00:00',0.05984556
'2007-01-20T06:00:00',0.11969112
'2007-01-20T07:00:00',0.193050193
'2007-01-20T08:00:00',0.175675676
'2007-01-20T09:00:00',0.200772201
'2007-01-20T10:00:00',0.164092664
'2007-01-20T11:00:00',0.113899614
'2007-01-20T12:00:00',0.079150579
'2007-01-20T13:00:00',0.057915058
'2007-01-20T14:00:00',0.071428571
'2007-01-20T15:00:00',0.073359073
'2007-01-20T16:00:00',0.121621622
'2007-01-20T17:00:00',0.11969112
'2007-01-20T18:00:00',0.098455598
'2007-01-20T19:00:00',0.343629344
'2007-01-20T20:00:00',0.401544402
'2007-01-20T21:00:00',0.50965251
'2007-01-20T22:00:00',0.530888031
'2007-01-20T23:00:00',0.463320463
'2007-01-21T00:00:00',0.370656371
'2007-01-21T01:00:00',0.276061776
'2007-01-21T02:00:00',0.162162162
'2007-01-21T03:00:00',0.146718147
'2007-01-21T04:00:00',0.065637066
'2007-01-21T05:00:00',0.055984556
'2007-01-21T06:00:00',0.090733591
'2007-01-21T07:00:00',0.073359073
'2007-01-21T08:00:00',0.094594595
'2007-01-21T09:00:00',0.133204633
'2007-01-21T10:00:00',0.127413127
'2007-01-21T11:00:00',0.154440154
'2007-01-21T12:00:00',0.148648649
'2007-01-21T13:00:00',0.081081081
'2007-01-21T14:00:00',0.077220077
'2007-01-21T15:00:00',0.098455598
'2007-01-21T16:00:00',0.11969112
'2007-01-21T17:00:00',0.277992278
'2007-01-21T18:00:00',0.361003861
'2007-01-21T19:00:00',0.482625483
'2007-01-21T20:00:00',0.515444015
'2007-01-21T21:00:00',0.459459459
'2007-01-21T22:00:00',0.528957529
'2007-01-21T23:00:00',0.463320463
'2007-01-22T00:00:00',0.297297297
'2007-01-22T01:00:00',0.175675676
'2007-01-22T02:00:00',0.144787645
'2007-01-22T03:00:00',0.125482625
'2007-01-22T04:00:00',0.135135135
'2007-01-22T05:00:00',0.1003861
'2007-01-22T06:00:00',0.065637066
'2007-01-22T07:00:00',0.102316602
'2007-01-22T08:00:00',0.11003861
'2007-01-22T09:00:00',0.106177606
'2007-01-22T10:00:00',0.098455598
'2007-01-22T11:00:00',0.063706564
'2007-01-22T12:00:00',0.036679537
'2007-01-22T13:00:00',0.135135135
'2007-01-22T14:00:00',0.133204633
'2007-01-22T15:00:00',0.152509653
'2007-01-22T16:00:00',0.11003861
'2007-01-22T17:00:00',0.086872587
'2007-01-22T18:00:00',0.189189189
'2007-01-22T19:00:00',0.241312741
'2007-01-22T20:00:00',0.212355212
'2007-01-22T21:00:00',0.218146718
'2007-01-22T22:00:00',0.376447876
'2007-01-22T23:00:00',0.266409266
'2007-01-23T00:00:00',0.175675676
'2007-01-23T01:00:00',0.181467181
'2007-01-23T02:00:00',0.243243243
'2007-01-23T03:00:00',0.28957529
'2007-01-23T04:00:00',0.156370656
'2007-01-23T05:00:00',0.028957529
'2007-01-23T06:00:00',0.036679537
'2007-01-23T07:00:00',0.140926641
'2007-01-23T08:00:00',0.067567568
'2007-01-23T09:00:00',0.073359073
'2007-01-23T10:00:00',0.05984556
'2007-01-23T11:00:00',0.065637066
'2007-01-23T12:00:00',0.104247104
'2007-01-23T13:00:00',0.038610039
'2007-01-23T14:00:00',0.036679537
'2007-01-23T15:00:00',0.036679537
'2007-01-23T16:00:00',0.127413127
'2007-01-23T17:00:00',0.22972973
'2007-01-23T18:00:00',0.162162162
'2007-01-23T19:00:00',0.247104247
'2007-01-23T20:00:00',0.133204633
'2007-01-23T21:00:00',0.22007722
'2007-01-23T22:00:00',0.27992278
'2007-01-23T23:00:00',0.22007722
'2007-01-24T00:00:00',0.094594595
'2007-01-24T01:00:00',0.208494208
'2007-01-24T02:00:00',0.164092664
'2007-01-24T03:00:00',0.044401544
'2007-01-24T04:00:00',0.040540541
'2007-01-24T05:00:00',0.032818533
'2007-01-24T06:00:00',0.115830116
'2007-01-24T07:00:00',0.218146718
'2007-01-24T08:00:00',0.372586873
'2007-01-24T09:00:00',0.241312741
'2007-01-24T10:00:00',0.364864865
'2007-01-24T11:00:00',0.345559846
'2007-01-24T12:00:00',0.401544402
'2007-01-24T13:00:00',0.357142857
'2007-01-24T14:00:00',0.28957529
'2007-01-24T15:00:00',0.235521236
'2007-01-24T16:00:00',0.272200772
'2007-01-24T17:00:00',0.494208494
'2007-01-24T18:00:00',0.627413127
'2007-01-24T19:00:00',0.584942085
'2007-01-24T20:00:00',0.430501931
'2007-01-24T21:00:00',0.430501931
'2007-01-24T22:00:00',0.418918919
'2007-01-24T23:00:00',0.395752896
'2007-01-25T15:00:00',0.073359073
'2007-01-25T16:00:00',0.138996139
'2007-01-25T17:00:00',0.154440154
'2007-01-25T18:00:00',0.185328185
'2007-01-25T19:00:00',0.187258687
'2007-01-25T20:00:00',0.123552124
'2007-01-25T21:00:00',0.077220077
'2007-01-25T22:00:00',0.250965251
'2007-01-25T23:00:00',0.086872587
'2007-01-26T00:00:00',0.148648649
'2007-01-26T01:00:00',0.239382239
'2007-01-26T02:00:00',0.208494208
'2007-01-26T03:00:00',0.102316602
'2007-01-26T04:00:00',0.096525097
'2007-01-26T05:00:00',0.069498069
'2007-01-26T06:00:00',0.036679537
'2007-01-26T07:00:00',0.036679537
